Id,UserId,IsFrozen
0Ywb0000000K5C1CAK,005b0000000gAqHAAU,TRUE
0Ywb0000000K5C3CAK,005b0000000gAqJAAU,TRUE
0Ywb0000000K5C5CAK,005b0000000gAqLAAU,TRUE
0Ywb0000000K5E1CAK,005b0000000gAsHAAU,TRUE
0Ywb0000000K5E3CAK,005b0000000gAsJAAU,TRUE
0Ywb0000000K5E6CAK,005b0000000gAsMAAU,TRUE
0Ywb0000000K5E7CAK,005b0000000gAsNAAU,TRUE
0Ywb0000000vIo0CAE,005b0000001DIocAAG,TRUE
0Ywb0000000vIo6CAE,005b0000001DIoiAAG,TRUE
0Ywb0000001Og7uCAC,005b0000001cX0kAAE,TRUE
0Ywb0000001Or43CAC,005b0000001ciXzAAI,TRUE
0Ywb0000001P723CAC,005b0000001cycWAAQ,TRUE
0Ywb0000001cAgHCAU,005b0000002RrkjAAC,TRUE
0Yw0N000005IBohSAG,0050N000006ojyOQAQ,TRUE
0Yw0N000005IEQdSAO,0050N000006onbNQAQ,TRUE
0Yw0N000005IEQnSAO,0050N000006onbXQAQ,TRUE
0Yw0N000005IEQxSAO,0050N000006onbhQAA,TRUE
0Yw0N000005IERMSA4,0050N000006onkMQAQ,TRUE
0Yw0N000005IERWSA4,0050N000006onkWQAQ,TRUE
0Yw0N000005IERgSAO,0050N000006onkgQAA,TRUE
0Yw0N000005IES0SAO,0050N000006onl0QAA,TRUE
0Yw0N000005IESZSA4,0050N000006onlZQAQ,TRUE
0Yw0N000005CnuSSAS,0050N000007sCRdQAM,TRUE
0Yw0N000005CnuwSAC,0050N000007sCSCQA2,TRUE
0Yw0N000005Cnv1SAC,0050N000007sCSHQA2,TRUE
0Yw0N000005Cnv6SAC,0050N000007sCSMQA2,TRUE
0Yw0N000005CnvBSAS,0050N000007sCSRQA2,TRUE
0Yw0N000005CnvGSAS,0050N000007sCSWQA2,TRUE
0Yw0N000005CnvLSAS,0050N000007sCSbQAM,TRUE
0Yw0N000005CnvQSAS,0050N000007sCSgQAM,TRUE
0Yw0N000005CnvVSAS,0050N000007sCSlQAM,TRUE
0Yw0N000005CnvaSAC,0050N000007sCSqQAM,TRUE
0Yw0N000005CnvfSAC,0050N000007sCSvQAM,TRUE
0Yw0N000005CnvkSAC,0050N000007sCT0QAM,TRUE
0Ywb0000000K57lCAC,005b0000000gAm1AAE,TRUE
0Ywb0000000K57qCAC,005b0000000gAm6AAE,TRUE
0Ywb0000000K5A4CAK,005b0000000gAoKAAU,TRUE
0Ywb0000000K5A5CAK,005b0000000gAoLAAU,TRUE
0Ywb0000000K5C6CAK,005b0000000gAqMAAU,TRUE
0Ywb0000000K5C7CAK,005b0000000gAqNAAU,TRUE
0Ywb0000000K5C8CAK,005b0000000gAqOAAU,TRUE
0Ywb0000000K5CBCA0,005b0000000gAqRAAU,TRUE
0Ywb0000000K5CCCA0,005b0000000gAqSAAU,TRUE
0Ywb0000000K5EACA0,005b0000000gAsQAAU,TRUE
0Ywb0000000K5EDCA0,005b0000000gAsTAAU,TRUE
0Ywb0000000K5EECA0,005b0000000gAsUAAU,TRUE
0Ywb0000000vIoDCAU,005b0000001DIopAAG,TRUE
0Yw0N000005AaQLSA0,0050N000005wS4LQAU,TRUE
0Yw0N000005AaRJSA0,0050N000005wS5JQAU,TRUE
0Yw0N000005AaSRSA0,0050N000005wS6RQAU,TRUE
0Yw0N000005AaSWSA0,0050N000005wS6WQAU,TRUE
0Yw0N000005AaSbSAK,0050N000005wS6bQAE,TRUE
0Yw0N000005AaSgSAK,0050N000005wS6gQAE,TRUE
0Yw0N000005AaSlSAK,0050N000005wS6lQAE,TRUE
0Yw0N000005AdiXSAS,0050N000005wVNuQAM,TRUE
0Yw0N000005IESoSAO,0050N000006onloQAA,TRUE
0Yw0N000005ILVGSA4,0050N000006ovrkQAA,TRUE
0Yw0N000005ILntSAG,0050N000006owIdQAI,TRUE
0Yw0N000005IM0JSAW,0050N000006owVNQAY,TRUE
0Yw0N000005IOD0SAO,0050N000006oz1yQAA,TRUE
0Yw0N000005IODFSA4,0050N000006oz2DQAQ,TRUE
0Yw0N000005CvEKSA0,0050N000007sJmsQAE,TRUE
0Yw0N000005CvU3SAK,0050N000007sK3AQAU,TRUE
0Yw0N000005CvU8SAK,0050N000007sK3FQAU,TRUE
0Yw0N000005CvUDSA0,0050N000007sK3KQAU,TRUE
0Yw0N000005CwNmSAK,0050N000007sKxhQAE,TRUE
0Yw0N000005CwagSAC,0050N000007sLAqQAM,TRUE
0Yw0N000005CwalSAC,0050N000007sLAvQAM,TRUE
0Yw0N000005CwaqSAC,0050N000007sLB0QAM,TRUE
0Yw0N000005D7ZUSA0,0050N000007sWCiQAM,TRUE
0Yw0N0000061al4SAA,0050N000007sdetQAA,TRUE
0Yw0N0000061al9SAA,0050N000007sdeyQAA,TRUE
0Ywb0000000HNi5CAG,005b0000000dBl4AAE,TRUE
0Ywb0000000K57vCAC,005b0000000gAmBAAU,TRUE
0Ywb0000000K57yCAC,005b0000000gAmEAAU,TRUE
0Ywb0000000K5A9CAK,005b0000000gAoPAAU,TRUE
0Ywb0000000K5AACA0,005b0000000gAoQAAU,TRUE
0Ywb0000000K5ACCA0,005b0000000gAoSAAU,TRUE
0Ywb0000000K5AECA0,005b0000000gAoUAAU,TRUE
0Ywb0000000K5AGCA0,005b0000000gAoWAAU,TRUE
0Ywb0000000K5CGCA0,005b0000000gAqWAAU,TRUE
0Ywb0000000K5CHCA0,005b0000000gAqXAAU,TRUE
0Ywb0000000K5CICA0,005b0000000gAqYAAU,TRUE
0Ywb0000000K5EKCA0,005b0000000gAsaAAE,TRUE
0Ywb0000000K5EMCA0,005b0000000gAscAAE,TRUE
0Ywb0000000K5EPCA0,005b0000000gAsfAAE,TRUE
0Yw0N000005AhRkSAK,0050N000005wZ7HQAU,TRUE
0Yw0N000005AhRpSAK,0050N000005wZ7MQAU,TRUE
0Yw0N000005AhRuSAK,0050N000005wZ7RQAU,TRUE
0Yw0N000005Ak1VSAS,0050N000005wbijQAA,TRUE
0Yw0N000005Ak1aSAC,0050N000005wbioQAA,TRUE
0Yw0N000005AnLiSAK,0050N000005wf49QAA,TRUE
0Yw0N000005AnMqSAK,0050N000005wf5HQAQ,TRUE
0Yw0N000005IOyzSAG,0050N000006ozxuQAA,TRUE
0Yw0N000005IOz4SAG,0050N000006ozxzQAA,TRUE
0Yw0N000005IOz9SAG,0050N000006ozy4QAA,TRUE
0Yw0N000005IOzESAW,0050N000006ozy9QAA,TRUE
0Yw0N000005IOzJSAW,0050N000006ozyEQAQ,TRUE
0Yw0N000005IOzOSAW,0050N000006ozyJQAQ,TRUE
0Yw0N000005IOzYSAW,0050N000006ozyTQAQ,TRUE
0Yw0N000005IOzdSAG,0050N000006ozyYQAQ,TRUE
0Yw0N000005IOziSAG,0050N000006ozydQAA,TRUE
0Yw0N000005IOznSAG,0050N000006ozyiQAA,TRUE
0Yw0N0000061auQSAQ,0050N000007sdotQAA,TRUE
0Yw0N0000061efUSAQ,0050N000007shavQAA,TRUE
0Yw0N0000061efZSAQ,0050N000007shb0QAA,TRUE
0Yw0N0000061wL3SAI,0050N000007szM3QAI,TRUE
0Yw0N0000061wLhSAI,0050N000007szMmQAI,TRUE
0Yw0N0000061xBdSAI,0050N000007t0DCQAY,TRUE
0Yw0N0000061xBiSAI,0050N000007t0DHQAY,TRUE
0Yw0N0000061xlCSAQ,0050N000007t0mlQAA,TRUE
0Yw0N000006255JSAQ,0050N000007t87RQAQ,TRUE
0Yw0N000006255OSAQ,0050N000007t87WQAQ,TRUE
0Yw0N000006255TSAQ,0050N000007t87bQAA,TRUE
0Yw0N00000629LuSAI,0050N000007tCP0QAM,TRUE
0Ywb0000000HcwWCAS,005b0000000dTKoAAM,TRUE
0Ywb0000000K55pCAC,005b0000000gAk5AAE,TRUE
0Ywb0000000K55rCAC,005b0000000gAk7AAE,TRUE
0Ywb0000000K586CAC,005b0000000gAmMAAU,TRUE
0Ywb0000000K5AHCA0,005b0000000gAoXAAU,TRUE
0Ywb0000000K5CPCA0,005b0000000gAqfAAE,TRUE
0Ywb0000000K5CVCA0,005b0000000gAqlAAE,TRUE
0Ywb0000000K5EUCA0,005b0000000gAskAAE,TRUE
0Ywb0000001YxVACA0,005b0000001vEcUAAU,TRUE
0Ywb0000001YyKDCA0,005b0000001vFTOAA2,TRUE
